state,district_id,district
04,0401920,Chevelon Butte School District
04,0402130,Cochise Elementary District
04,0402190,Concho Elementary District
04,0402220,Congress Elementary District
04,0402250,Continental Elementary District
04,0402370,Cottonwood-Oak Creek Elementary District
04,0402400,Crane Elementary District
04,0402430,Creighton Elementary District
04,0402460,Crown King Elementary District
04,0402490,Double Adobe Elementary District
04,0402710,Eagle Elementary District
04,0402760,Elfrida Elementary District
04,0402790,Eloy Elementary District
04,0402820,Empire Elementary District
04,0403060,Fowler Elementary District
04,0403240,Gadsden Elementary District
04,0403420,Glendale Elementary District
04,0403660,Hackberry School District
04,0403900,Hyder Elementary District
04,0403960,Isaac Elementary District
04,0404170,Kirkland Elementary District
04,0404200,Klondyke Elementary District
04,0404230,Kyrene Elementary District
04,0404290,Laveen Elementary District
04,0404320,Liberty Elementary District
04,0404380,Litchfield Elementary District
04,0404440,Littleton Elementary District
04,0404500,Madison Elementary District
04,0404530,Maine Consolidated School District
04,0404770,Altar Valley Elementary District
04,0404860,McNary Elementary District
04,0404920,McNeal Elementary District
04,0405100,Mobile Elementary District
04,0405190,Mohave Valley Elementary District
04,0405220,Mohawk Valley Elementary District
04,0405340,Morristown Elementary District
04,0405400,Murphy Elementary District
04,0405430,Naco Elementary District
04,0405640,Oracle Elementary District
04,0405670,Osborn Elementary District
04,0405730,Owens-Whitney Elementary District
04,0405760,Tonto Basin Elementary District
04,0405850,Palo Verde Elementary District
04,0405880,Palominas Elementary District
04,0406000,Patagonia Elementary District
04,0406150,Pearce Elementary District
04,0406210,Pendergast Elementary District
04,0406300,Phoenix Elementary District
04,0406360,Picacho Elementary District
04,0406510,Pine Strawberry Elementary District
04,0406630,Pomerene Elementary District
04,0406780,Quartzsite Elementary District
04,0406900,Red Rock Elementary District
04,0406930,Redington Elementary District
04,0407020,Riverside Elementary District
04,0407080,Roosevelt Elementary District
04,0407200,Sacaton Elementary District
04,0407380,San Fernando Elementary District
04,0407500,Santa Cruz Elementary District
04,0407680,Sentinel Elementary District
04,0407770,Skull Valley Elementary District
04,0407860,Solomon Elementary District
04,0407890,Somerton Elementary District
04,0407920,Sonoita Elementary District
04,0408130,Stanfield Elementary District
04,0408310,Tempe School District
04,0408430,Paloma School District
04,0408460,Hillside Elementary District
04,0408490,Tolleson Elementary District
04,0408550,Toltec Elementary District
04,0408640,Topock Elementary District
04,0408820,Union Elementary District
04,0408880,Valentine Elementary District
04,0409030,Walnut Grove Elementary District
04,0409060,Washington Elementary District
04,0409090,Wellton Elementary District
04,0409120,Wenden Elementary District
04,0409360,Williamson Valley Elementary School District
04,0409390,Wilson Elementary District
04,0409510,Yarnell Elementary District
04,0409540,Young Elementary School District
04,0409570,Yucca Elementary District
04,0409600,Yuma Elementary District
06,0639210,Three Rivers Union Elementary School District
06,0632430,Richgrove Elementary School District
06,0639300,Tipton Elementary School District
06,0636360,Sequoia Union Elementary School District
06,0619740,Kings River Union Elementary School District
06,0638430,Sunnyside Union Elementary School District
06,0639870,Tulare City Elementary School District
06,0638130,Strathmore Union Elementary School District
06,0638040,Stone Corral Elementary School District
06,0607410,Capay Joint Union Elementary School District
06,0620610,Lake Elementary School District
06,0630870,Plaza Elementary School District
06,0625980,Mother Lode Union Elementary School District
06,0632310,Rescue Union Elementary School District
06,0615450,Gold Trail Union Elementary School District
06,0636810,Silver Fork Elementary School District
06,0606270,Buckeye Union Elementary School District
06,0630780,Placerville Union Elementary School District
06,0631290,Pollock Pines Elementary School District
06,0615390,Gold Oak Union Elementary School District
06,0621180,Latrobe Elementary School District
06,0630480,Pioneer Union Elementary School District
06,0618240,Indian Diggings Elementary School District
06,0607170,Camino Union Elementary School District
06,0600006,Ross Valley Elementary School District
06,0605520,Bolinas-Stinson Union Elementary School District
06,0611220,Dixie Elementary School District
06,0619380,Kentfield Elementary School District
06,0620430,Laguna Joint Elementary School District
06,0620520,Lagunitas Elementary School District
06,0620910,Larkspur Elementary School District
06,0621660,Lincoln Elementary School District
06,0624870,Mill Valley Elementary School District
06,0627300,Nicasio Elementary School District
06,0611760,Earlimart Elementary School District
06,0630630,Pixley Union Elementary School District
06,0611550,Ducor Union Elementary School District
06,0609510,Columbine Elementary School District
06,0643170,Woodville Elementary School District
06,0639060,Terra Bella Union Elementary School District
06,0629160,Outside Creek Elementary School District
06,0637770,Springville Union Elementary School District
06,0633270,Rockford Elementary School District
06,0617640,Hot Springs Elementary School District
06,0601427,Penn Valley Union Elementary School District
06,0601420,Fortuna Elementary School District
06,0626130,Mountain House Elementary School District
06,0623970,Mark Twain Union Elementary School District
06,0640680,Vallecito Union Elementary School District
06,0632160,Reed Union Elementary School District
06,0633660,Ross Elementary School District
06,0635090,San Rafael City Elementary School District
06,0636000,Sausalito Elementary School District
06,0612090,El Monte City School District
06,0614940,Garvey Elementary School District
06,0617040,Hermosa Beach City Elementary School District
06,0633570,Rosemead Elementary School District
06,0621210,Lawndale Elementary School District
06,0602100,Alpine Union Elementary School District
06,0606810,Cajon Valley Union Elementary School District
06,0607470,Cardiff Elementary School District
06,0608610,Chula Vista Elementary School District
06,0610710,Dehesa Elementary School District
06,0610740,Del Mar Union Elementary School District
06,0612750,Encinitas Union Elementary School District
06,0612880,Escondido Union Elementary School District
06,0613500,Fallbrook Union Elementary School District
06,0618730,Jamul-Dulzura Union Elementary School District
06,0619140,Julian Union Elementary School District
06,0620250,La Mesa-Spring Valley School District
06,0620790,Lakeside Union Elementary School District
06,0621330,Lemon Grove Elementary School District
06,0626670,National Elementary School District
06,0631740,Rancho Santa Fe Elementary School District
06,0635040,San Pasqual Union Elementary School District
06,0635220,San Ysidro Elementary School District
06,0635880,Santee School District
06,0633390,Romoland Elementary School District
06,0627780,Nuview Union Elementary School District
06,0624540,Menifee Union School District
06,0630180,Perris Elementary School District
06,0611850,East Whittier City Elementary School District
06,0623010,Lowell Joint Elementary School District
06,0637560,South Whittier Elementary School District
06,0622890,Los Nietos Elementary School District
06,0642450,Whittier City Elementary School District
06,0621930,Little Lake City Elementary School District
06,0616680,Hawthorne Elementary School District
06,0626190,Mountain View Elementary School District
06,0640650,Valle Lindo Elementary School District
06,0611910,Eastside Union Elementary School District
06,0627180,Newhall Elementary School District
06,0619440,Keppel Union Elementary School District
06,0635970,Saugus Union Elementary School District
06,0638220,Sulphur Springs Union Elementary School District
06,0629580,Palmdale Elementary School District
06,0642120,Westside Union Elementary School District
06,0615600,Gorman Elementary School District
06,0642810,Wilsona Elementary School District
06,0617880,Hughes-Elizabeth Lakes Union Elementary School District
06,0626340,Mount Baldy Joint Elementary School District
06,0633690,Round Valley Joint Elementary School District
06,0618780,Janesville Union Elementary School District
06,0619050,Johnstonville Elementary School District
06,0604200,Bayshore Elementary School District
06,0604530,Belmont-Redwood Shores Elementary School District
06,0606060,Brisbane Elementary School District
06,0606480,Burlingame Elementary School District
06,0617190,Hillsborough City Elementary School District
06,0618870,Jefferson Elementary School District
06,0620460,Pacifica School District
06,0622380,Las Lomitas Elementary School District
06,0624570,Menlo Park City Elementary School District
06,0624900,Millbrae Elementary School District
06,0631470,Portola Valley Elementary School District
06,0631860,Ravenswood City Elementary School District
06,0632130,Redwood City Elementary School District
06,0634230,San Bruno Park Elementary School District
06,0634290,San Carlos Elementary School District
06,0603270,Arvin Union School District
06,0603630,Bakersfield City School District
06,0604260,Beardsley Elementary School District
06,0604560,Belridge Elementary School District
06,0605250,Blake Elementary School District
06,0606390,Panama-Buena Vista School District
06,0606720,Buttonwillow Union Elementary School District
06,0606960,Caliente Union Elementary School District
06,0610890,Delano Union Elementary School District
06,0611130,Di Giorgio Elementary School District
06,0611940,Edison Elementary School District
06,0612360,Elk Hills Elementary School District
06,0631830,Ravendale-Termo Elementary School District
06,0632520,Richmond Elementary School District
06,0636420,Shaffer Union Elementary School District
06,0638550,Susanville Elementary School District
06,0618840,Jefferson Elementary School District
06,0626970,New Hope Elementary School District
06,0627030,New Jerusalem Elementary School District
06,0627930,Oak View Union Elementary School District
06,0640800,Valley Home Joint Elementary School District
06,0603870,Banta Elementary School District
06,0614790,Galt Joint Union Elementary School District
06,0634920,San Mateo-Foster City Elementary School District
06,0643140,Woodside Elementary School District
06,0613290,Fairfax Elementary School District
06,0614700,Fruitvale Elementary School District
06,0615000,General Shafter Elementary School District
06,0616050,Greenfield Union School District
06,0619590,Kernville Union Elementary School District
06,0620730,Lakeside Union School District
06,0620850,Lamont Elementary School District
06,0621450,Richland Union School District
06,0622950,Lost Hills Union Elementary School District
06,0623760,Maple Elementary School District
06,0624330,McKittrick Elementary School District
06,0602370,Alvina Elementary School District
06,0604860,Big Creek Elementary School District
06,0606540,Burrel Union Elementary School District
06,0608850,Clay Joint Elementary School District
06,0619800,Kingsburg Elementary Charter School District
06,0604350,Bella Vista Elementary School District
06,0605220,Black Butte Union Elementary School District
06,0607680,Cascade Union Elementary School District
06,0607770,Castle Rock Union Elementary School District
06,0609450,Columbia Elementary School District
06,0609990,Cottonwood Union Elementary School District
06,0612810,Enterprise Elementary School District
06,0614490,French Gulch-Whiskeytown Elementary School District
06,0615690,Grant Elementary School District
06,0625290,Monroe Elementary School District
06,0625350,Monson-Sultana Joint Union Elementary School District
06,0628530,Orange Center Elementary School District
06,0629400,Pacific Union Elementary School District
06,0630390,Pine Ridge Elementary School District
06,0631680,Raisin City Elementary School District
06,0641460,Washington Colony Elementary School District
06,0604980,Big Springs Union Elementary School District
06,0616570,Happy Valley Union Elementary School District
06,0618160,"Igo, Ono, Platina Union Elementary School District"
06,0618270,Indian Springs Elementary School District
06,0619200,Junction Elementary School District
06,0624930,Millville Elementary School District
06,0627040,Mountain Union Elementary School District
06,0627510,North Cow Creek Elementary School District
06,0627870,Oak Run Elementary School District
06,0629280,Pacheco Union Elementary School District
06,0632040,Redding Elementary School District
06,0636570,Shasta Union Elementary School District
06,0642420,Whitmore Union Elementary School District
06,0603420,Atwater Elementary School District
06,0603750,Ballico-Cressey Elementary School District
06,0612150,El Nido Elementary School District
06,0621240,Le Grand Union Elementary School District
06,0622170,Livingston Union School District
06,0624360,McSwain Union Elementary School District
06,0624600,Merced City Elementary School District
06,0624630,Merced River Union Elementary School District
06,0630810,Plainsburg Union Elementary School District
06,0630840,Planada Elementary School District
06,0636960,Snelling-Merced Falls Union Elementary School District
06,0641880,Weaver Union Elementary School District
06,0642960,Winton School District
06,0605490,Bogus Elementary School District
06,0606690,Butteville Union Elementary School District
06,0610980,Delphic Elementary School District
06,0611670,Dunsmuir Elementary School District
06,0614040,Forks of Salmon Elementary School District
06,0614970,Gazelle Union Elementary School District
06,0616110,Grenada Elementary School District
06,0616530,Happy Camp Union Elementary School District
06,0617620,Hornbrook Elementary School District
06,0619230,Junction Elementary School District
06,0619920,Klamath River Union Elementary School District
06,0621960,Little Shasta Elementary School District
06,0624210,McCloud Union Elementary School District
06,0625380,Montague Elementary School District
06,0626040,Mount Shasta Union Elementary School District
06,0605640,Bonny Doon Union Elementary School District
06,0616560,Happy Valley Elementary School District
06,0621990,Live Oak Elementary School District
06,0626070,Mountain Elementary School District
06,0629340,Pacific Elementary School District
06,0635590,Santa Cruz City Elementary School District
06,0637290,Soquel Elementary School District
06,0642060,West Park Elementary School District
06,0642210,Westside Elementary School District
06,0636240,Seiad Elementary School District
06,0641980,Weed Union Elementary School District
06,0642600,Willow Creek Elementary School District
06,0643380,Yreka Union Elementary School District
06,0603720,Ballard Elementary School District
06,0605280,Blochman Union Elementary School District
06,0605580,Santa Maria-Bonita Elementary School District
06,0606330,Buellton Union Elementary School District
06,0609270,Cold Spring Elementary School District
06,0609330,College Elementary School District
06,0615510,Goleta Union Elementary School District
06,0616260,Guadalupe Union Elementary School District
06,0617490,Hope Elementary School District
06,0622920,Los Olivos Elementary School District
06,0625500,Montecito Union Elementary School District
06,0628710,Orcutt Union Elementary School District
06,0637110,Solvang Elementary School District
06,0641220,Vista del Mar Union Elementary School District
06,0636990,Solana Beach Elementary School District
06,0637380,South Bay Union School District
06,0637680,Spencer Valley Elementary School District
06,0640710,Vallecitos Elementary School District
06,0621420,Lennox Elementary School District
06,0607740,Castaic Union School District
06,0620880,Lancaster Elementary School District
06,0605790,Brawley Elementary School District
06,0612030,El Centro Elementary School District
06,0616830,Heber Elementary School District
06,0623460,Magnolia Union Elementary School District
06,0624180,McCabe Union Elementary School District
06,0624390,Meadows Union Elementary School District
06,0626430,Mulberry Elementary School District
06,0636210,Seeley Union Elementary School District
06,0642180,Westmorland Union Elementary School District
06,0603180,Armona Union Elementary School District
06,0607980,Central Union Elementary School District
06,0616470,Hanford Elementary School District
06,0618510,Island Union Elementary School District
06,0619770,Kings River-Hardwick Union Elementary School District
06,0619890,Kit Carson Union Elementary School District
06,0620760,Lakeside Union Elementary School District
06,0621360,Lemoore Union Elementary School District
06,0641040,Victor Elementary School District
06,0601710,Adelanto Elementary School District
06,0628950,Oro Grande Elementary School District
06,0616300,Cucamonga Elementary School District
06,0626220,Mountain View Elementary School District
06,0607950,Central Elementary School District
06,0612960,Etiwanda Elementary School District
06,0628470,Ontario-Montclair School District
06,0602160,Alta Loma Elementary School District
06,0616860,Helendale Elementary School District
06,0630510,Pioneer Union Elementary School District
06,0639600,Traver Joint Elementary School District
06,0602250,Alta-Dutch Flat Union Elementary School District
06,0609300,Colfax Elementary School District
06,0603480,Auburn Union Elementary School District
06,0622560,Loomis Union Elementary School District
06,0630720,Placer Hills Union Elementary School District
06,0607840,Cayucos Elementary School District
06,0602360,Alview-Dairyland Union Elementary School District
06,0604080,Bass Lake Joint Union Elementary School District
06,0608520,Chowchilla Elementary School District
06,0601680,Ackerman Elementary School District
06,0611490,Dry Creek Joint Elementary School District
06,0633600,Roseville City Elementary School District
06,0613080,Eureka Union Elementary School District
06,0627120,Newcastle Elementary School District
06,0613980,Foresthill Union Elementary School District
06,0612600,Elverta Joint Elementary School District
06,0632710,Rio Bravo-Greeley Union Elementary School District
06,0633480,Rosedale Union Elementary School District
06,0610230,Cuddeback Union Elementary School District
06,0610380,Cutten Elementary School District
06,0613740,Fieldbrook Elementary School District
06,0636330,Semitropic Elementary School District
06,0637470,South Fork Union School District
06,0637890,Standard Elementary School District
06,0638700,Taft City School District
06,0641130,Vineland Elementary School District
06,0641400,Wasco Union Elementary School District
06,0614520,Freshwater Elementary School District
06,0614910,Garfield Elementary School District
06,0615990,Green Point Elementary School District
06,0618120,Hydesville Elementary School District
06,0618660,Jacoby Creek Elementary School District
06,0619980,Kneeland Elementary School District
06,0622320,Loleta Union Elementary School District
06,0623730,Maple Creek Elementary School District
06,0624300,McKinleyville Union Elementary School District
06,0628830,Orick Elementary School District
06,0629430,Pacific Union Elementary School District
06,0605910,Brentwood Union Elementary School District
06,0606750,Byron Union Elementary School District
06,0630090,Peninsula Union Elementary School District
06,0632730,Rio Dell Elementary School District
06,0636100,Scotia Union Elementary School District
06,0637350,South Bay Union Elementary School District
06,0639720,Trinidad Union Elementary School District
06,0607350,Canyon Elementary School District
06,0620040,Knightsen Elementary School District
06,0620310,Lafayette Elementary School District
06,0625740,Moraga Elementary School District
06,0628080,Oakley Union Elementary School District
06,0628860,Orinda Union Elementary School District
06,0641250,Walnut Creek Elementary School District
06,0606030,Briggs Elementary School District
06,0617850,Hueneme Elementary School District
06,0617760,Howell Mountain Elementary School District
06,0631380,Pope Valley Union Elementary School District
06,0603090,Arena Union Elementary School District
06,0623550,Manchester Union Elementary School District
06,0602760,Antelope Elementary School District
06,0609780,Corning Union Elementary School District
06,0613170,Evergreen Union Elementary School District
06,0613860,Flournoy Union Elementary School District
06,0615090,Gerber Union Elementary School District
06,0619860,Kirkwood Elementary School District
06,0621090,Lassen View Union Elementary School District
06,0624720,Mesa Union Elementary School District
06,0626460,Mupu Elementary School District
06,0628170,Ocean View Elementary School District
06,0629220,Oxnard Elementary School District
06,0630990,Pleasant Valley Elementary School District
06,0632760,Rio Elementary School District
